Offences,State,Gender,Count
Public order offences,nsw,Female,2173
Public order offences,nsw,Male,7372
Public order offences,queens,Female,2236
Public order offences,queens,Male,7268
Public order offences,south,Female,1059
Public order offences,south,Male,2690
Public order offences,tas,Female,205
Public order offences,tas,Male,527
Public order offences,total,Female,8055
Public order offences,total,Male,24135
Public order offences,vic,Female,584
Public order offences,vic,Male,2746
Public order offences,west,Female,738
Public order offences,west,Male,1891
Robbery/extortion,cap,Female,6
Robbery/extortion,cap,Male,33
Robbery/extortion,north,Female,48
Robbery/extortion,north,Male,130
Robbery/extortion,nsw,Female,108
Robbery/extortion,nsw,Male,639
Robbery/extortion,queens,Female,277
Robbery/extortion,queens,Male,925
Robbery/extortion,south,Female,45
Robbery/extortion,south,Male,144
Robbery/extortion,tas,Female,31
Robbery/extortion,tas,Male,95
Robbery/extortion,total,Female,771
Robbery/extortion,total,Male,3209
Robbery/extortion,vic,Female,90
Robbery/extortion,vic,Male,616
Robbery/extortion,west,Female,166
Robbery/extortion,west,Male,627
Sexual assault and related offences,cap,Female,3
Sexual assault and related offences,cap,Male,130
Sexual assault and related offences,north,Female,0
Sexual assault and related offences,north,Male,65
Sexual assault and related offences,nsw,Female,179
Sexual assault and related offences,nsw,Male,2691
Sexual assault and related offences,queens,Female,269
Sexual assault and related offences,queens,Male,2493
Sexual assault and related offences,south,Female,22
Sexual assault and related offences,south,Male,394
Sexual assault and related offences,tas,Female,6
Sexual assault and related offences,tas,Male,125
Sexual assault and related offences,total,Female,678
Sexual assault and related offences,total,Male,8892
Sexual assault and related offences,vic,Female,115
Sexual assault and related offences,vic,Male,1649
Sexual assault and related offences,west,Female,84
Sexual assault and related offences,west,Male,1345
Theft,cap,Female,60
Theft,cap,Male,145
Theft,north,Female,74
Theft,north,Male,201
Theft,nsw,Female,3193
Theft,nsw,Male,5220
Theft,queens,Female,4740
Theft,queens,Male,6563
Theft,south,Female,588
Theft,south,Male,951
Theft,tas,Female,420
Theft,tas,Male,539
Theft,total,Female,14233
Theft,total,Male,20634
Theft,vic,Female,2812
Theft,vic,Male,4217
Theft,west,Female,2346
Theft,west,Male,2798
Unlawful entry with intent,cap,Female,14
Unlawful entry with intent,cap,Male,80
Unlawful entry with intent,north,Female,59
Unlawful entry with intent,north,Male,251
Unlawful entry with intent,nsw,Female,337
Unlawful entry with intent,nsw,Male,1674
Unlawful entry with intent,queens,Female,773
Unlawful entry with intent,queens,Male,3053
Unlawful entry with intent,south,Female,172
Unlawful entry with intent,south,Male,738
Unlawful entry with intent,tas,Female,28
Unlawful entry with intent,tas,Male,136
Unlawful entry with intent,total,Female,2194
Unlawful entry with intent,total,Male,8871
Unlawful entry with intent,vic,Female,338
Unlawful entry with intent,vic,Male,1274
Unlawful entry with intent,west,Female,473
Unlawful entry with intent,west,Male,1665
Weapons/explosives,cap,Female,22
Weapons/explosives,cap,Male,111
Weapons/explosives,north,Female,47
Weapons/explosives,north,Male,291
Weapons/explosives,nsw,Female,527
Weapons/explosives,nsw,Male,3461
Weapons/explosives,queens,Female,334
Weapons/explosives,queens,Male,1602
Weapons/explosives,south,Female,177
Weapons/explosives,south,Male,1084
Weapons/explosives,tas,Female,81
Weapons/explosives,tas,Male,374
Weapons/explosives,total,Female,2176
Weapons/explosives,total,Male,12626
Weapons/explosives,vic,Female,716
Weapons/explosives,vic,Male,4320
Weapons/explosives,west,Female,272
Weapons/explosives,west,Male,1383
